guide,target,active,center,scale
ASCL4_6,ASCL4,0,-0.008031,0.1382
ASCL5_1,ASCL5,0,0.005849,0.1554
ASCL5_2,ASCL5,0,-0.02595,0.3407
ASCL5_3,ASCL5,0,-0.009238,0.2532
ASCL5_4,ASCL5,0,-0.004345,0.2037
ASCL5_5,ASCL5,0,-0.01365,0.2584
ASCL5_6,ASCL5,0,-0.02377,0.2735
ASH1L_1,ASH1L,0,0.003594,0.2564
ASH1L_2,ASH1L,0,0.006259,0.1702
ASH1L_3,ASH1L,0,-0.02332,0.2309
ASH1L_4,ASH1L,0,-0.03388,0.3907
ASH1L_5,ASH1L,0,-0.0004418,0.1162
ASH1L_6,ASH1L,0,0.00985,0.1447
ATF1_1,ATF1,0,-0.01504,0.1261
ATF1_2,ATF1,0,-0.01618,0.1584
ATF1_3,ATF1,0,-0.009249,0.09899
ATF1_4,ATF1,0,0.01274,0.3062
ATF1_5,ATF1,0,-0.01154,0.09808
ATF1_6,ATF1,0,-0.003938,0.1323
ATF2_1,ATF2,0,-0.01524,0.2617
ATF2_2,ATF2,0,-0.03478,0.2397
ATF2_3,ATF2,0,0.001875,0.1508
ATF2_4,ATF2,0,-0.05033,0.3223
ATF2_5,ATF2,0,-0.0005986,0.1187
ATF2_6,ATF2,0,-0.003204,0.1095
ATF3_1,ATF3,0,-0.00608,0.1242
ATF3_2,ATF3,0,6.754e-05,0.1227
ATF3_3,ATF3,0,0.0007631,0.1479
ATF3_4,ATF3,0,-0.01394,0.2193
ATF3_5,ATF3,0,-0.001791,0.1194
ATF3_6,ATF3,0,-0.01134,0.301
ATF4_1,ATF4,0,-0.02668,0.3031
ATF4_2,ATF4,0,0.0001539,0.09441
ATF4_3,ATF4,0,0.002314,0.09234
ATF4_4,ATF4,0,-0.009875,0.195
ATF4_5,ATF4,0,-0.01423,0.1284
ATF4_6,ATF4,0,0.0002809,0.1738
ATF5_1,ATF5,0,-0.1284,0.7057
ATF5_2,ATF5,0,-0.0756,0.4627
ATF5_3,ATF5,0,-0.2987,0.6502
ATF5_4,ATF5,0,-0.1762,0.5943
ATF5_5,ATF5,0,-0.01864,0.3343
ATF5_6,ATF5,0,-0.1265,0.4762
ATF6B_1,ATF6B,0,0.01519,0.2444
ATF6B_2,ATF6B,0,0.01506,0.2129
ATF6B_3,ATF6B,0,-0.01634,0.1606
ATF6B_4,ATF6B,0,-0.00492,0.1686
ATF6B_5,ATF6B,0,-0.005602,0.08968
ATF6B_6,ATF6B,0,-0.004991,0.08282
ATF6_1,ATF6,0,-0.1552,0.5932
ATF6_2,ATF6,0,-0.001869,0.2264
ATF6_3,ATF6,0,-0.009655,0.2074
ATF6_4,ATF6,0,-0.0008236,0.2226
ATF6_5,ATF6,0,0.009394,0.1783
ATF6_6,ATF6,0,-0.004489,0.09755
ATF7_1,ATF7,0,-0.07062,0.305
ATF7_2,ATF7,0,-0.01418,0.2008
ATF7_3,ATF7,0,0.01502,0.1557
ATF7_4,ATF7,0,-0.01324,0.1787
ATF7_5,ATF7,0,-0.001311,0.2597
ATF7_6,ATF7,0,-0.004203,0.1305
ATMIN_1,ATMIN,0,-0.006804,0.1783
ATMIN_2,ATMIN,0,-0.008565,0.2669
ATMIN_3,ATMIN,0,-0.0421,0.2447
ATMIN_4,ATMIN,0,-0.0326,0.435
ATMIN_5,ATMIN,0,-0.008165,0.1914
ATMIN_6,ATMIN,0,-0.004147,0.1162
ATN1_1,ATN1,0,-0.02641,0.2607
ATN1_2,ATN1,0,-0.006467,0.08243
ATN1_3,ATN1,0,-0.02277,0.1953
ATN1_4,ATN1,0,-0.03655,0.3927
ATN1_5,ATN1,0,8.93e-05,0.1424
ATN1_6,ATN1,0,0.001706,0.1433
ATOH1_1,ATOH1,0,-0.01139,0.1516
ATOH1_2,ATOH1,0,-0.002813,0.1924
ATOH1_3,ATOH1,0,-0.05783,0.4192
ATOH1_4,ATOH1,0,-0.001548,0.1996
