guide,target,active,center,scale
AARS_B,AARS,0,-0.1323,0.4711
AARS_C,AARS,0,-0.01714,0.2051
AARS_main,AARS,0,-0.01067,0.1803
AATF_1,AATF,0,-0.02839,0.3005
AATF_5,AATF,0,-0.06547,0.3814
AATF_6,AATF,0,-0.006135,0.1522
ADNP2_1,ADNP2,0,-0.004453,0.09772
ADNP2_2,ADNP2,1,-0.01347,0.1674
ADNP2_3,ADNP2,1,-0.01788,0.1757
ADNP2_4,ADNP2,0,0.001109,0.1723
ADNP2_5,ADNP2,0,-0.000452,0.1119
ADNP2_6,ADNP2,0,-0.002934,0.08472
ADNP_1,ADNP,0,0.001919,0.1119
ADNP_2,ADNP,0,-0.01097,0.1623
ADNP_3,ADNP,0,-0.00748,0.2812
ADNP_4,ADNP,0,-0.1074,0.4626
ADNP_5,ADNP,0,0.002057,0.06504
ADNP_6,ADNP,0,-0.003845,0.0595
AEBP1_1,AEBP1,0,-0.00359,0.1257
AEBP1_2,AEBP1,0,-0.008158,0.1183
AEBP1_3,AEBP1,0,-0.00372,0.1715
AEBP1_4,AEBP1,0,-0.03854,0.3406
AEBP1_5,AEBP1,0,-0.009133,0.1275
AEBP1_6,AEBP1,0,-0.002582,0.1445
AEBP2_1,AEBP2,0,-0.01738,0.2761
AEBP2_2,AEBP2,0,-0.007258,0.1862
AEBP2_3,AEBP2,0,0.001204,0.0991
AEBP2_4,AEBP2,0,-0.2243,0.4323
AEBP2_5,AEBP2,0,-0.009796,0.2014
AEBP2_6,AEBP2,0,-0.01397,0.1211
AFF1_1,AFF1,0,0.01237,0.1374
AFF1_2,AFF1,0,-0.02516,0.3322
AFF1_3,AFF1,0,-0.009083,0.1563
AFF1_4,AFF1,0,-0.02333,0.2463
AFF1_5,AFF1,0,-0.01173,0.1039
AFF1_6,AFF1,0,-0.001592,0.07916
AFF2_1,AFF2,0,-0.003724,0.115
AFF2_2,AFF2,0,-0.006534,0.1955
AFF2_3,AFF2,0,-0.00531,0.1464
AFF2_4,AFF2,0,-0.01133,0.1589
AFF2_5,AFF2,0,-0.0152,0.09
AFF2_6,AFF2,0,-0.0008308,0.05538
AFF3_1,AFF3,0,0.001176,0.1837
AFF3_2,AFF3,0,3.431e-05,0.1057
AFF3_3,AFF3,0,-0.007335,0.1657
AFF3_4,AFF3,0,-0.02471,0.1888
AFF3_5,AFF3,0,-0.00407,0.06171
AFF3_6,AFF3,0,-0.0004374,0.05589
AFF4_1,AFF4,0,-0.02251,0.177
AFF4_2,AFF4,0,-0.01347,0.1216
AFF4_3,AFF4,0,-0.03098,0.1479
AFF4_4,AFF4,0,-0.005388,0.1874
AFF4_5,AFF4,0,-0.00564,0.1512
AFF4_6,AFF4,0,-0.001198,0.07887
AHCTF1_1,AHCTF1,0,-0.0002893,0.1436
AHCTF1_2,AHCTF1,0,-0.01439,0.176
AHCTF1_3,AHCTF1,0,-0.05884,0.3631
AHCTF1_4,AHCTF1,0,-0.00122,0.1789
AHCTF1_5,AHCTF1,0,0.002776,0.07461
AHCTF1_6,AHCTF1,0,-0.002367,0.1002
AHCY_1,AHCY,0,-0.01283,0.1928
AHCY_2,AHCY,0,-0.01158,0.1371
AHCY_3,AHCY,0,0.001037,0.09585
AHCY_4,AHCY,0,-2.708e-05,0.07029
AHCY_5,AHCY,0,-0.00297,0.1028
AHCY_6,AHCY,0,0.003187,0.08845
AHDC1_1,AHDC1,0,0.009207,0.09608
AHDC1_2,AHDC1,0,0.001563,0.1032
AHDC1_3,AHDC1,0,-0.007411,0.1476
